Name,Name 2,2008 Wreck ID,Latitude,Longitude,Geo Q,Start Date,End Date,Date Q,Depth,Depth Q,Year Found,Year Found Q,Cargo 1,Type 1,Cargo 2,Type 2,Cargo 3,Type 3,Other Cargo,Gear,Estimated Capacity,Comments,Length,Width,Size estimate Q,Parker reference,Bibliography and notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliopolis 1,,373,43.017,6.417,,300,400,,38.0,,,,amphoras,"cylindrical LR3; cf. Keay 25.1, 25.3: homogenous cargo of amphoras produced and loaded at Salakta (Sullechtum): M. Bonifay, Études sur la céramique romaine tardive d'Afrique, BAR international series 1301 (Oxford, 2004), 453",,,,,,,,"keel, 200 m from shore; coin dated 300-310, one 5th C. amphora, 3rd C. wreck (according to Hayes) based on common wares, Joncheray dates to 4th C. like Pointe de la Luque.",14.0,,,499,"J.P. Joncheray 1997b, 137-164.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herculaneum,,374,40.750,14.167,ca,79,79,,,,,,nothing reported,,,,,,,,,"boat carbonized by volcanic mud, 500 m from modern coast",9.0,,,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herne Bay,,376,51.367,1.100,,55,85,ca,,,,,ceramic,mortaria,,,,,,,,,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hof Hacarmel 1,,377,32.800,34.933,,160,170,ca / ?,4.0,,,,amphoras,(?),metal,"bronze statuettes, steelyard, neck chain; copper nails",coins,"coins of Trajan, Hadrian, Antoninus Pius and Faustina the Younger",,"lead anchor stock, bronze statuettes, steelyard, neck chain, coins of Trajan, Hadrian, Antoninus Pius and Faustina the Younger, copper nails",,,,,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hof Hacarmel 2,,378,32.800,34.933,,400,425,ca,4.0,,,,amphoras,Byzantine,coins,Arcadius,metal,copper nails,,,,,,,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hormigas, Las",,379,37.650,-0.650,,425,550,ca,60.0,,,,amphoras,Keay35,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iassos,,380,37.233,27.617,ca,300,700,,23.0,,,,,,,,,,,,,well-preserved hull,,,,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
îles-Rousse,,381,42.633,8.933,,50,50,ca,3.0,,,,amphoras,"Dr2-4, Pelichet 47",dolia,,ceramic,"terra sigillata, coarseware","lead ingot, fine bronze lamp, bronze decorative plaque",pump,,ingot with Nero,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilovik,,382,44.467,14.533,,120,120,ca / ?,30.0,,,,amphoras,Dr2-4; horn-handled amphora,ceramic,pottery,glass,,"lamps, sestertius struck in 116, wooden combs, roof tiles, bronze jug and dish",,,,,,,513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imera,,383,38.000,13.783,,285,350,ca / ?,32.0,,,,amphoras,Afr,ceramic,coarse pottery,metal,bronze and lead objects,lamps; coins,sounding lead,,,,,,514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ince Ada,,385,36.683,28.217,,1,100,?,30.0,,,,amphoras,Dr2-4,,,,,,,,,,,,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isis,Skerki,387,38.000,11.500,ca,375,400,ca,818.0,,,,amphoras,Keay25 Keay32 cf Keay53 [Keay 35 Tunisian]; Almagro51A,ceramic,cooking pot,coins,Constantius II,"lead, wood, hand-mill, lamp, cooking pot, coin of Constantius II",,,,13.5,5.0,length ranges from 12.5 to 15,517,"Mark 1997, 208-209; F.D. Hentschel 2004, 10-13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iskandil Burnu 1,,388,36.700,27.333,,575,600,,35.0,,,,amphoras,"egg-shaped havit (bag-shaped), cigar-shaped from Gaza, hourglass shaped from Cyprus/Asia Minor, carrot-shaped Egyptian",ceramic,"coarseware jugs and plates, sealed casserole",glass,goblet,,,,2000+ globular amphoras. Main cargo appears to have come from Palestine.,20.0,5.0,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iskandil Burnu 2,,389,36.700,27.333,,200,300,?,10.0,,,,amphoras,Roman,,,,,,,,,,,,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Wight,,391,50.000,0.000,ca,1,100,,,,,,amphoras,Haltern70,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isola delle Correnti,,392,36.633,15.083,,200,400,?,9.0,,,,marble,"blocks, perhaps Proconessian",amphoras,Afr2 amphora,,,,,,piece of lead sheathing,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isola Rossa,,393,41.017,8.867,,100,200,,,,,,amphoras,,ceramic,terra sigillata chiara bowl,,,,,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,395,32.000,34.000,?,500,600,,40.0,,,,ceramic,pottery,,,,,,ballast,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ist,,396,44.283,14.767,,-100,100,,,,,,amphoras,Lam6 or Dr6,,,,,,,,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istria,,397,44.750,13.917,ca,1,1500,,2.0,,,,metal,lead ingots,metal,lead anchor stocks,,,,,,,,,,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarre,,399,43.200,5.333,,10,50,ca / ?,54.0,,,,amphoras,Dr20,,,,,,,,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jezirat Fara'un (Sinai),,400,33.571,35.372,,500,1500,,,,,,amphoras,Byzantine,,,,,,,,Probably anchorage debris of Byzantine  amphoras. Possibility of wreck deep under sand.,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kallithea,,401,40.167,23.500,ca,500,1500,,3.0,,,,amphoras,Byzantine,,,,,,,,,,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapel Avazaath,,403,51.900,5.417,,100,160,ca / ?,,silted,,,metal,"iron ring, caulking iron, C14 130+-30",,,,,,,,hull of barge,30.0,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karabagla,,404,37.000,27.233,,1,100,?,8.0,,,,amphoras,Rhodian,lamps,,,,,,,,,,,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karaca Adasi,,405,36.950,28.167,,0,0,,10.0,,,,amphoras,,ceramic,pithoi,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kas,,407,36.133,29.633,ca,1200,1400,?,,,,,amphoras,late medieval,,,,,,,,,,,,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kastellorizon,,408,36.117,29.533,,1200,1225,,50.0,,,,ceramic,glazed pottery,,,,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerme Gulf,,409,36.983,27.733,ca,300,1200,,20.0,,,,tiles,,amphoras,,ceramic,coarse pottery,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kizil Agac Adasi,,410,36.733,27.383,,0,0,,7.0,,,,amphoras,(?),,,,,,,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knidos 4,,412,36.667,27.383,ca,1200,1400,?,32.0,,,,amphoras,,,,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komi 2,,413,38.183,26.033,,1,500,,4.0,,,,tiles,roof tiles,ceramic,terra cotta pipes,amphoras,Roman amphoras,,,,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kornat,,414,43.733,15.383,,1,100,?,,,,,amphoras,,,,,,,,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotu Burun,,415,36.383,29.100,,1000,1100,?,42.0,,,,amphoras,Pulak1,ceramic,large globular jars,,,,,,,,,,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krava,,416,43.067,16.217,,1,200,,,,,,amphoras,"Dr2-4, pear-shaped",,,,,,,,,,,,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvarner Gulf,,417,45.000,14.000,,1,100,?,,,,,amphoras,Koan,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kythera,,418,36.200,23.050,,-50,110,ca,15.0,,,,amphoras,Rhodian,,,,,,,,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladispoli 1,,421,41.950,12.050,,1,15,ca,12.0,,,,amphoras,Dr2-4; Haltern70,dolia,,ceramic,Arretine ware,"lead jar, volute lamps, furniture, wooden box",bilge-pump,,well-preserved hull; McCann et al say 25-100?AD,20.0,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladispoli 2,,422,41.917,12.100,,25,100,ca / ?,20.0,,,,marble,columns,,,,,,2 lead anchor-stocks,,,,,,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lampedusa 1,,423,35.483,12.600,,300,350,ca / ?,,,,,amphoras,Afr2 pear-shaped globular Kapitän2 Riley MR4,,,,,,,,,,,,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lara (Cyprus),,424,34.964,32.288,,0,0,,,,,,,,,,,,,,,timbers with nails and lead sheathing,,,,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lastovo 1,,426,42.767,16.900,ca,400,500,?,,,,,amphoras,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lastovo 6,,427,42.767,16.900,ca,1,500,,,,,,amphoras,Roman,,,,,,,,,,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lastovska,,428,42.783,18.517,,-50,110,ca / ?,,,,,amphoras,Rhodian,,,,,,,,,,,,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurons 1, Les",,429,43.267,5.017,,200,400,c3 to c4,2.5,,,,nothing reported,,,,,,,"ballast, wooden wedge, needle, spoon, marline-spike, bone marline spike, copper button, pottery plate, jar, pitcher",,"preserved ship, 46 m from shore - Late Roman vessel repaired numerous times",13.0,4.0,remains,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurons 2, Les",,430,43.267,5.017,,175,200,ca (end c3/beg c4AD),2.0,,,,amphoras,"Gaulish, African cylindrical",ceramic,"terra sigillata chiara A, coarseware",coins,2 coins (1 of Divus Antoninus Pius),"wooden utensils, lamp, grain","pump-well, steering oar mountings, steering oar",,"well-preserved ship; follis from end of C3, probably of Diocletian; silver denarius of Marcus Aurelius",15.0,5.0,,578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurons 3, Les",Epave III,431,43.267,5.017,,300,400,?,2.0,,,,ceramic,pottery,amphoras,Dr20 and Pelichet47,glass,fragments,coins,"ballast stones, wooden arm of anchor with lead reinforcement collar, rigging items",,,10.0,4.6,,579,"P. Pomey and L. Long 1988, 23.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laurons 4, Les",,432,43.267,5.017,,310,340,ca / ?,2.0,,,,coins,one of Constantine,,,,,,wood and lead anchor,,well-preserved hull; dating based on coin of Constantine,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi (Balise),Epave de la Balise de Lavezzi,434,41.317,9.250,,45,50,ca / ?,15.0,,,,amphoras,Dr14 Dr2-4 Dr28 miniDr14 Dr20,,,,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 1,,435,41.333,9.250,,25,50,ca / ?,13.0,,,,amphoras,Dr20 Dr14 Dr7-11 Haltern70,glass,square and round bottles,metal,copper and lead ingots,coarse pottery,,,copper nails from hull,,,,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 2,,436,41.333,9.250,,40,50,ca,19.0,,,,amphoras,Dr7-11 Dr9 Dr20,ceramic,S. Gaulish terra sigillata,metal,"small bronze cylinder with antimony, little bronze bell, two glass bowls, lead or tin ingot",,,,partially-preserved hull,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 3,,437,41.317,9.250,,50,100,ca / ?,12.0,,,,amphoras,Dr14 Dr17 miniDr14 Pascual 1,,,,,,,,1-50 AD according to Mayet,,,,586,"F. Mayet 1987, 289.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 4,,438,41.333,9.250,,100,150,ca / ?,15.0,,,,amphoras,Dr20 Dr14 Beltran2B,,,,,,,,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 5,,439,41.333,9.250,,300,325,ca,10.0,,,,amphoras,cylindrical pear-shaped small flat-bottomed,ceramic,"3 pottery vaulting tubes, domestic ware",,,,anchor stock,,,,,,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 6,,440,41.333,9.233,ca,1,200,,,shallow,,,amphoras,,,,,,,,,,,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 7,,441,41.333,9.233,ca,1,200,,,shallow,,,amphoras,,,,,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 8,,442,41.333,9.233,ca,1,200,,,shallow,,,amphoras,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavezzi 9,,443,41.333,9.233,ca,1,200,,,shallow,,,amphoras,,,,,,,,,,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazzaretto,,444,40.583,8.250,,320,320,ca,2.0,,,,amphoras,cylindrical Afr2D Almagro50 Almagro51C Dr20 Dr30,coins,moneybag with follis of Licinius,ceramic,mold,,,,hull timbers,,,,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindos 1,,447,36.083,28.083,ca,-50,100,ca / ?,30.0,,,,amphoras,Rhodian,,,,,,,,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindos 3,,448,36.083,28.083,ca,0,0,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lion de Mer, Le",,449,43.400,6.767,,1,200,?,,shallow,,,tiles,roof tiles,,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Russel 1,,450,49.450,-2.533,,75,200,,12.0,,,,amphoras,Beltran2B,,,,,,,,,,,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Russel 2,,451,49.450,-2.517,ca,1,75,ca / ?,50.0,,,,amphoras,cf. Dr7-11,,,,,,,,,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livorno (Italy),,452,43.550,10.283,ca,0,0,,,,,,stone,4 Roman portrait busts,,,,,,,,,,,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lixouri,,453,38.200,20.450,,1,500,,4.0,,,,marble,"statues, 2 ionic capitals, 4 half-column bases",,,,,,,,300 m from shore,,,,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logonovo,,454,44.650,12.250,,1475,1500,,,silted,,,nothing reported,,,,,,,,,two-masted boat,10.1,,,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London (Blackfriars),,455,51.500,0.100,,175,225,,,silted,,,stone,grinding stone,ceramic,pottery,metal,tools,,,,"mast-step, hull",15.0,,,606,"G. Milne 1996, 234-238.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
London (County Hall),,456,51.500,-0.117,,275,300,,,silted,,,coins,4 coins ending 296,,,,,,,,Roman ship,20.0,,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London (New Guy's House),,457,51.500,-0.083,,200,200,ca,,,,,nothing reported,,,,,,,,,carvel-built ship,15.0,,,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luque 1, La",,460,43.267,5.283,,150,150,ca / ?,17.0,,,,tiles,roof tiles,ceramic,"S Gaulish Drag. 37 bowl, coarseware",coins,coins in mast-step end with Hadrian,sword,,,preserved ship,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luque 2, La",,461,43.267,5.283,,300,325,ca,40.0,,,,amphoras,"Afr ,'Globe'",lamps,Afr,ceramic,terra sigillata bowl,,,,"preserved hull, mast-step",20.0,6.0,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macchia Tonda, La",,463,41.983,11.950,ca,50,100,ca / ?,12.0,,,,amphoras,"Dr14, pear-shaped; flat-bottomed amphora",,,,,,lead anchor stock,,,,,,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maddalena,,464,41.250,9.417,?,1,500,,,,,,glass,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Magnons 1, La",,465,43.067,5.750,,-50,50,ca,30.0,,,,amphoras,Dr8 Dr12 Dr2-4,,,,,,,,,,,,619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 2,,468,50.000,8.267,,400,425,,,,,,nothing reported,,,,,,,,,"single-banked galley, wood felled 376, repaired 385 and 394",8.3,,,623,"O. Höckmann 1993, 125-135; P. Marsden 1993, 137-141.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 3,,469,50.000,8.267,,400,425,,,,,,nothing reported,,,,,,,,,ship with cabin,14.8,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 4,,470,50.000,8.267,,400,425,,,,,,nothing reported,,,,,,,,,single-banked galley,,,,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 5,,471,50.000,8.267,,400,425,,,,,,nothing reported,,,,,,,,,single-banked galley,10.6,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 6,,472,50.000,8.267,,400,425,,,,,,nothing reported,,,,,,,,,single-banked galley,21.0,,,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 7,,473,50.000,8.267,,400,425,,,,,,nothing reported,,,,,,,,,dugout,,,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 8,,474,50.000,8.267,,75,125,,,,,,nothing reported,,,,,,,,,"large barge, dendro: 81 AD",11.0,,,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainz 10,,467,50.000,8.267,,75,125,,,,,,nothing reported,,,,,,,,,large barge,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maire 2,,476,43.200,5.317,,100,125,?,40.0,,,,amphoras,Dr20,,,,,,,,,,,,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majorca,,477,39.833,3.667,,100,200,,,,,,amphoras,Dr20,,,,,,,,,,,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majsan (Croatia),,478,42.960,17.199,,0,0,,,shallow,,,,,,,,,,,,,,,,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mala Jana,,479,43.050,14.450,,1300,1600,?,27.0,,,,ceramic,glazed bowls,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malamocco,,480,45.417,12.383,ca,1400,1500,?,9.0,,,,glass,blocks,metal,"falchions, swords, Turkish standard, bronze statuette",,,,"ballast, iron breech-loading cannon, 3 large anchors",,,,,,639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,481,35.900,14.750,ca,0,0,,,,,,amphoras,,,,,,,,,,,,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalya Gulf 1,,482,37.167,27.417,ca,-50,50,ca / ?,,shallow,,,amphoras,,,,,,,,,,,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandalya Gulf 3,,483,37.167,27.417,ca,900,1000,,37.0,,,,amphoras,pear-shaped Byzantine,,,,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangub,,484,32.833,12.250,,315,315,ca,,,,,coins,"20,000 folles dated 306-312 in an amphora",,,,,,,,,,,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maratea 1,,485,39.917,15.767,,50,50,ca / ?,,shallow,,,amphoras,Dr2-4,,,,,,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maratea 2,,486,39.950,15.733,,25,260,ca / ?,,shallow,,,amphoras,Dr20,,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maratea 3,,487,39.950,15.733,ca,200,400,,,,,,amphoras,Almagro50; large-necked amphora or storage jar,,,,,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maresquel,,488,50.000,1.000,,100,200,,,,,,nothing reported,,,,,,,,,"line of posts, boat",,,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margarina,,489,44.483,14.300,,1,500,?,,,,,stone,"blocks, columns",,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marmaris 1,,490,36.867,28.283,ca,700,900,,,,,,ceramic,Byzantine  plates,,,,,,,,,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marritza,,491,40.850,8.600,,75,125,ca,4.0,,,,amphoras,Dr2-4 cf Dr7-11,ceramic,"terra sigillata chiara A, black-walled ware saucepan and coarseware",,,,4 iron anchors,,"lead sheathing, large pulley, wooden beam of mast, roof tiles",,,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsa Lucch,,492,32.083,24.500,,500,650,ca / ?,,,,,amphoras,Riley LR8a,,,,,,,,,6.0,2.0,remains,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsala 1,,493,37.767,12.433,,1150,1200,ca,2.0,,,,amphoras,small,ceramic,"lava mill, jug",,,,ballast,,"well-preserved Arab ship, 40 m from beach",15.0,3.0,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsala 2,,494,37.767,12.433,,1150,1200,ca / ?,,,,,metal,bronze pot with Arabic inscription,ceramic,pottery,,,,,,Arabic tender or pinnace,,,,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsala 3,,495,37.883,12.433,,500,1500,?,,,,,nothing reported,,,,,,,,,hull,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marseillan-Plage 2,,496,43.300,3.550,,50,100,ca / ?,,,,,amphoras,Dr20,metal,lead and copper ingots,,,,,,,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marseille (Bourse),L'Epave de la Bourse or du Lacydon,497,43.283,5.367,,175,200,,,silted,,,nothing reported,,,,,,,,,well-preserved Roman ship,23.0,9.0,,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marseille (Galère de César),,498,43.283,5.367,,200,300,?,,silted,,,ceramic,pottery,,,,,,,,hull,,,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 1,,503,36.733,15.133,,200,250,ca,7.0,,,,amphoras,Kapitän1 and 2,marble,greyish-white blocks,,,,,,,,,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 2,Church Wreck of Marzamemi,506,36.750,15.133,,500,540,ca,10.0,,,,marble,"carved architectural pieces for basilica, verde antico and white Proconnesian",amphoras,,ceramic,terra sigillata chiara dish,,,,,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 3,,507,36.733,15.133,,1,500,,,shallow,,,marble,red Nubian granite column,,,,,,,,,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 4,,508,36.750,15.133,,325,350,ca / ?,7.0,,,,amphoras,Afr2D cylindrical,,,,,,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 6,,509,36.733,15.133,,275,300,ca / ?,7.0,,,,amphoras,Almagro50 Almagro51C Afr2B-D,,,,,,,,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 10,,504,36.750,15.133,,400,700,,8.0,,,,amphoras,Byzantine,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marzamemi 11,,505,36.733,15.150,,400,700,,28.0,,,,amphoras,,,,,,,,,,,,,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matala,,510,34.983,24.750,,-50,110,ca / ?,8.0,,,,amphoras,Schoene8,,,,,,ballast,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mataró-Els Capets (Spain),,511,41.534,2.463,ca,75,125,,70.0,,,,ceramic,S. Gaulish terra sigillata bowl,,,,,,,,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateille 1,,512,43.117,3.117,,400,425,ca,3.0,,,,amphoras,"Almagro51A, pear-shaped, cylindrical",metal,"iron bars, bronze objects",coins,"551 coins, 4 of Theodosius","terra sigillata chiara D, coarseware, vaulting tube, iron blade, axe,  fishing weights","anchor shank, ballast, 551 coins, 4 of Theodosius, ts chiara D, coarseware, vaulting tube, iron blade, axe,  fishing weights",,,,,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateille 2,,513,43.117,3.117,,1,100,,4.0,,,,amphoras,Dr7-11,,,,,,,,fragments of ship preserved,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medas 2,,514,42.033,3.217,,-50,25,ca / ?,,,,,amphoras,Pascual1,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medes 2, Les",,515,43.017,6.233,,1,100,,18.0,,,,tiles,roof tiles,amphoras,Dr2-4,,,,,,,,,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'Mediterranean',,516,38.942,4.897,ca,308,308,,,,,,coins,"""gold coins""",,,,,,,,No precise location info provided. W Mediterranean hypothesized,,,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megadim 2,,517,32.717,34.933,,1404,1404,,,shallow,,,coins,"several hundred thousand, Mamluk of Sultan Nasser Farage (1399-1412)",metal,"bronze torches, copper lamps, inscribed bronze plaques, copper dishes, mortars and pestles, hinges of wooden chests",,,,ballast,,ship's hull,,,,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellieha,,519,35.967,14.367,,200,250,ca,9.0,,,,ceramic,mortaria,glass,vessels,amphoras,Kapitän1,"additional cargo: glass cakes, blue frit, textile fragments, tin-alloy measures; stores: domestic pottery, 2 bronze vessels",ballast,,roof-tiles,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meloria (Italy),,520,43.533,10.217,,0,0,,,,,,coins,"4,000 bronze coins, mostly of Constantine II (346-361)",,,,,,,,Not a wreck?,,,,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mersea,,522,51.800,1.033,,1,500,,,,,,ceramic,Roman coarseware,,,,,,,,,,,,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methone 2,,523,36.817,21.700,,500,1500,,30.0,,,,ceramic,Medieval Jars,,,,,,ballast,,,,,,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methone 3,,524,36.817,21.700,,200,250,ca,10.0,,,,marble,granite columns,amphoras,Kapitän2,glass,fragment,,,,,30.0,20.0,remains,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methone 4,,525,36.817,21.700,,100,300,,,shallow,,,stone,garland sarcophagi,tiles,roof tiles,ceramic,pottery,glass unguent jar,ballast,,,,,,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikhmoret,,526,32.400,34.867,,1,1500,,,,,,ceramic,R/Byz jars,,,,,,,,,,,,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
